141152,Sanjay Jain,Jhansi,9856687466,Uttar Pradesh ,78 66 90 ,SanjayJain@gmail.com
141153,Abhinav Agarwal,Kanpur ,9856777466,Uttar Pradesh ,88 65 69 ,AbhinavAgarwal@gmail.com
141154,Abhishek Nigam,Lucknow ,8946687466,Uttar Pradesh ,77 93 64,AbhishekNigam@gmail.com
141155,Aditya Arora,Agra ,7756687412,Uttar Pradesh ,88 65 70,AdityaArora@gmail.com
141156,Aditya Shrivastava ,Shimla ,9956687413,Himachal Pradesh ,77 93 65,AdityaShrivastava@gmail.com
141157,Aditya Thakur ,Chandigarh ,8856687414,Punjab ,88 65 71,AdityaThakur@gmail.com
141158,Amit kumar ,Mandi ,7156687415,Himachal Pradesh ,77 93 66,Amitkumar@gmail.com
141159,Aashi Jain ,Kanpur ,9156687416,Uttar Pradesh ,88 65 72,AashiJain@gmail.com
141160,Deepak Singh ,Mathura ,9956687417,Uttar Pradesh ,77 93 67,DeepakSingh@gmail.com
141161,Mahendra Singh ,Guna ,6656687418,Madhya Pradesh ,88 65 73,MahendraSingh@gmail.com
141162,Vijay Kumar ,Bhopal ,9856687419,Madhya Pradesh ,77 93 78,VijayKumar@gmail.com
141163,Aditya Pandey ,Patna ,9856687420,Bihar ,88 65 74,AdityaPandey@gmail.com
141164,Aditya Kumar ,Gorakhpur ,9856687421,Uttar Pradesh ,77 93 69 ,AdityaKumar@gmail.com
141165,Aditi Bhardwaj ,Lucknow ,3356687422,Uttar Pradesh Uttar Pradesh ,88 65 75,"AditiBhardwaj@gmail.com AditiBhardwaj@gmail.com"
141166,Anup Kumar Nigam ,Kanpur ,9856687423,Uttar Pradesh ,77 93 70,AnupKumarNigam@gmail.com
141167,Abhishek Chatterjee ,Nagpur  ,8836687424,Maharastra ,88 65 76,AbhishekChatterjee@gmail.com
141168,Abhimanyu Singh ,Bhopal ,9856687425,Madhya Pradesh ,77 93 71,AbhimanyuSingh@gmail.com
